	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper
																								
distmiss	-0.00247**	-0.00679***	-0.00166***	-0.00204***	0.0409***	0.0938**	-0.00247**	-0.00679***	-0.00166***	-0.00204***	0.0409***	0.0938**	-0.00247**	-0.00679***	-0.00166***	-0.00204***	0.0409***	0.0938**	-0.00247**	-0.00679***	-0.00166***	-0.00204***	0.0409***	0.0938**
	(0.00120)	(0.00164)	(0.000437)	(0.000615)	(0.0137)	(0.0461)	(0.00120)	(0.00164)	(0.000437)	(0.000615)	(0.0137)	(0.0461)	(0.00120)	(0.00164)	(0.000437)	(0.000615)	(0.0137)	(0.0461)	(0.00120)	(0.00164)	(0.000437)	(0.000615)	(0.0137)	(0.0461)
Constant	-259.0	21.51	11.14***	11.66***	55.98	27.98	-259.0	21.51	11.14***	11.66***	55.98	27.98	-259.0	21.51	11.14***	11.66***	55.98	27.98	-259.0	21.51	11.14***	11.66***	55.98	27.98
	(191.2)	(213.2)	(1.328)	(4.260)	(34.13)	(132.5)	(191.2)	(213.2)	(1.328)	(4.260)	(34.13)	(132.5)	(191.2)	(213.2)	(1.328)	(4.260)	(34.13)	(132.5)	(191.2)	(213.2)	(1.328)	(4.260)	(34.13)	(132.5)
																								
Observations	427	427	506	506	82	81	427	427	506	506	82	81	427	427	506	506	82	81	427	427	506	506	82	81
R-squared	0.042	0.171	0.869	0.876	0.704	0.733	0.042	0.171	0.869	0.876	0.704	0.733	0.042	0.171	0.869	0.876	0.704	0.733	0.042	0.171	0.869	0.876	0.704	0.733
Standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
