	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)
VARIABLES	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy
																																			
distpar	-0.0201***			-0.000503	0.0185	-0.00310	0.00399	-0.0201***			-0.000503	0.0185	-0.00310	0.00399	-0.0201***			-0.000503	0.0185	-0.00310	0.00399	-0.0201***			-0.000503	0.0185	-0.00310	0.00399	-0.0201***			-0.000503	0.0185	-0.00310	0.00399
	(0.00655)			(0.0132)	(0.0277)	(0.0170)	(0.0269)	(0.00655)			(0.0132)	(0.0277)	(0.0170)	(0.0269)	(0.00655)			(0.0132)	(0.0277)	(0.0170)	(0.0269)	(0.00655)			(0.0132)	(0.0277)	(0.0170)	(0.0269)	(0.00655)			(0.0132)	(0.0277)	(0.0170)	(0.0269)
distgua		0.00422		-0.00150	0.0476***	-0.00932	0.0267*		0.00422		-0.00150	0.0476***	-0.00932	0.0267*		0.00422		-0.00150	0.0476***	-0.00932	0.0267*		0.00422		-0.00150	0.0476***	-0.00932	0.0267*		0.00422		-0.00150	0.0476***	-0.00932	0.0267*
		(0.00938)		(0.00952)	(0.0146)	(0.0101)	(0.0156)		(0.00938)		(0.00952)	(0.0146)	(0.0101)	(0.0156)		(0.00938)		(0.00952)	(0.0146)	(0.0101)	(0.0156)		(0.00938)		(0.00952)	(0.0146)	(0.0101)	(0.0156)		(0.00938)		(0.00952)	(0.0146)	(0.0101)	(0.0156)
distita			-0.0497***	-0.00728	-0.135**	-0.0469	-0.0956*			-0.0497***	-0.00728	-0.135**	-0.0469	-0.0956*			-0.0497***	-0.00728	-0.135**	-0.0469	-0.0956*			-0.0497***	-0.00728	-0.135**	-0.0469	-0.0956*			-0.0497***	-0.00728	-0.135**	-0.0469	-0.0956*
			(0.0141)	(0.0231)	(0.0547)	(0.0298)	(0.0522)			(0.0141)	(0.0231)	(0.0547)	(0.0298)	(0.0522)			(0.0141)	(0.0231)	(0.0547)	(0.0298)	(0.0522)			(0.0141)	(0.0231)	(0.0547)	(0.0298)	(0.0522)			(0.0141)	(0.0231)	(0.0547)	(0.0298)	(0.0522)
distmiss						0.0244***	0.0216***						0.0244***	0.0216***						0.0244***	0.0216***						0.0244***	0.0216***						0.0244***	0.0216***
						(0.00529)	(0.00645)						(0.00529)	(0.00645)						(0.00529)	(0.00645)						(0.00529)	(0.00645)						(0.00529)	(0.00645)
Constant	-43.45	22.37	-64.58	-28.47	45.09	-124.1**	-21.45	-43.45	22.37	-64.58	-28.47	45.09	-124.1**	-21.45	-43.45	22.37	-64.58	-28.47	45.09	-124.1**	-21.45	-43.45	22.37	-64.58	-28.47	45.09	-124.1**	-21.45	-43.45	22.37	-64.58	-28.47	45.09	-124.1**	-21.45
	(48.17)	(59.09)	(51.17)	(41.27)	(65.21)	(49.78)	(71.81)	(48.17)	(59.09)	(51.17)	(41.27)	(65.21)	(49.78)	(71.81)	(48.17)	(59.09)	(51.17)	(41.27)	(65.21)	(49.78)	(71.81)	(48.17)	(59.09)	(51.17)	(41.27)	(65.21)	(49.78)	(71.81)	(48.17)	(59.09)	(51.17)	(41.27)	(65.21)	(49.78)	(71.81)
																																			
Observations	548	548	548	549	548	549	548	548	548	548	549	548	549	548	548	548	548	549	548	549	548	548	548	548	549	548	549	548	548	548	548	549	548	549	548
R-squared	0.082	0.068	0.088	0.032	0.113	0.078	0.126	0.082	0.068	0.088	0.032	0.113	0.078	0.126	0.082	0.068	0.088	0.032	0.113	0.078	0.126	0.082	0.068	0.088	0.032	0.113	0.078	0.126	0.082	0.068	0.088	0.032	0.113	0.078	0.126
Robust standard errors in parentheses																																			
*** p<0.01, ** p<0.05, * p<0.1																																			
