	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	agroper	induper	commper	agriculture	manufacturing	commerce	agro	manu	comm	agroper	induper	commper	agriculture	manufacturing	commerce	agro	manu	comm	agroper	induper	commper	agriculture	manufacturing	commerce	agro	manu	comm	agroper	induper	commper	agriculture	manufacturing	commerce	agro	manu	comm	agroper	induper	commper	agriculture	manufacturing	commerce	agro	manu	comm
																																													
distmiss	0.0174	-0.0587***	0.00737	0.00543***	-0.000220	-0.00164***	0.0133**	-0.00755	-0.0112**	0.0174	-0.0587***	0.00737	0.00543***	-0.000220	-0.00164***	0.0133**	-0.00755	-0.0112**	0.0174	-0.0587***	0.00737	0.00543***	-0.000220	-0.00164***	0.0133**	-0.00755	-0.0112**	0.0174	-0.0587***	0.00737	0.00543***	-0.000220	-0.00164***	0.0133**	-0.00755	-0.0112**	0.0174	-0.0587***	0.00737	0.00543***	-0.000220	-0.00164***	0.0133**	-0.00755	-0.0112**
	(0.0262)	(0.0118)	(0.00793)	(0.00166)	(0.000717)	(0.000604)	(0.00586)	(0.00523)	(0.00481)	(0.0262)	(0.0118)	(0.00793)	(0.00166)	(0.000717)	(0.000604)	(0.00586)	(0.00523)	(0.00481)	(0.0262)	(0.0118)	(0.00793)	(0.00166)	(0.000717)	(0.000604)	(0.00586)	(0.00523)	(0.00481)	(0.0262)	(0.0118)	(0.00793)	(0.00166)	(0.000717)	(0.000604)	(0.00586)	(0.00523)	(0.00481)	(0.0262)	(0.0118)	(0.00793)	(0.00166)	(0.000717)	(0.000604)	(0.00586)	(0.00523)	(0.00481)
Constant	12,712***	-14,226***	619.7	22.02***	1.264	-9.581***	-1.396***	-1.841***	-1.035***	12,712***	-14,226***	619.7	22.02***	1.264	-9.581***	-1.396***	-1.841***	-1.035***	12,712***	-14,226***	619.7	22.02***	1.264	-9.581***	-1.396***	-1.841***	-1.035***	12,712***	-14,226***	619.7	22.02***	1.264	-9.581***	-1.396***	-1.841***	-1.035***	12,712***	-14,226***	619.7	22.02***	1.264	-9.581***	-1.396***	-1.841***	-1.035***
	(4,481)	(2,504)	(1,248)	(7.706)	(3.439)	(2.865)	(0.251)	(0.191)	(0.160)	(4,481)	(2,504)	(1,248)	(7.706)	(3.439)	(2.865)	(0.251)	(0.191)	(0.160)	(4,481)	(2,504)	(1,248)	(7.706)	(3.439)	(2.865)	(0.251)	(0.191)	(0.160)	(4,481)	(2,504)	(1,248)	(7.706)	(3.439)	(2.865)	(0.251)	(0.191)	(0.160)	(4,481)	(2,504)	(1,248)	(7.706)	(3.439)	(2.865)	(0.251)	(0.191)	(0.160)
																																													
Observations	466	466	466	48,476	48,476	48,476	1,962	1,962	1,962	466	466	466	48,476	48,476	48,476	1,962	1,962	1,962	466	466	466	48,476	48,476	48,476	1,962	1,962	1,962	466	466	466	48,476	48,476	48,476	1,962	1,962	1,962	466	466	466	48,476	48,476	48,476	1,962	1,962	1,962
R-squared	0.168	0.274	0.104							0.168	0.274	0.104							0.168	0.274	0.104							0.168	0.274	0.104							0.168	0.274	0.104						
Robust standard errors in parentheses																																													
*** p<0.01, ** p<0.05, * p<0.1																																													
