	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper
																								
distita	0.00271	-0.0346	0.00864*	0.00699	0.408	0.126	0.00271	-0.0346	0.00864*	0.00699	0.408	0.126	0.00271	-0.0346	0.00864*	0.00699	0.408	0.126	0.00271	-0.0346	0.00864*	0.00699	0.408	0.126
	(0.0393)	(0.0456)	(0.00517)	(0.00470)	(0.273)	(0.292)	(0.0393)	(0.0456)	(0.00517)	(0.00470)	(0.273)	(0.292)	(0.0393)	(0.0456)	(0.00517)	(0.00470)	(0.273)	(0.292)	(0.0393)	(0.0456)	(0.00517)	(0.00470)	(0.273)	(0.292)
distpar	0.0155	0.0245	-0.000494	-0.00124	-0.387**	-0.224	0.0155	0.0245	-0.000494	-0.00124	-0.387**	-0.224	0.0155	0.0245	-0.000494	-0.00124	-0.387**	-0.224	0.0155	0.0245	-0.000494	-0.00124	-0.387**	-0.224
	(0.0175)	(0.0186)	(0.00264)	(0.00239)	(0.155)	(0.155)	(0.0175)	(0.0186)	(0.00264)	(0.00239)	(0.155)	(0.155)	(0.0175)	(0.0186)	(0.00264)	(0.00239)	(0.155)	(0.155)	(0.0175)	(0.0186)	(0.00264)	(0.00239)	(0.155)	(0.155)
distgua	-0.00899	0.00501	-0.00555***	-0.00386***	-0.00732	0.375	-0.00899	0.00501	-0.00555***	-0.00386***	-0.00732	0.375	-0.00899	0.00501	-0.00555***	-0.00386***	-0.00732	0.375	-0.00899	0.00501	-0.00555***	-0.00386***	-0.00732	0.375
	(0.0103)	(0.0131)	(0.00116)	(0.00122)	(0.212)	(0.255)	(0.0103)	(0.0131)	(0.00116)	(0.00122)	(0.212)	(0.255)	(0.0103)	(0.0131)	(0.00116)	(0.00122)	(0.212)	(0.255)	(0.0103)	(0.0131)	(0.00116)	(0.00122)	(0.212)	(0.255)
distmiss		-0.00681**		-0.00252***		0.137***		-0.00681**		-0.00252***		0.137***		-0.00681**		-0.00252***		0.137***		-0.00681**		-0.00252***		0.137***
		(0.00332)		(0.000745)		(0.0423)		(0.00332)		(0.000745)		(0.0423)		(0.00332)		(0.000745)		(0.0423)		(0.00332)		(0.000745)		(0.0423)
Constant	-262.9	-879.9	-15.42***	-8.138	359.5	-1,116	-262.9	-879.9	-15.42***	-8.138	359.5	-1,116	-262.9	-879.9	-15.42***	-8.138	359.5	-1,116	-262.9	-879.9	-15.42***	-8.138	359.5	-1,116
	(1,000)	(1,067)	(5.546)	(5.638)	(9,675)	(9,330)	(1,000)	(1,067)	(5.546)	(5.638)	(9,675)	(9,330)	(1,000)	(1,067)	(5.546)	(5.638)	(9,675)	(9,330)	(1,000)	(1,067)	(5.546)	(5.638)	(9,675)	(9,330)
																								
Observations	427	427	506	506	81	81	427	427	506	506	81	81	427	427	506	506	81	81	427	427	506	506	81	81
R-squared	0.190	0.198	0.879	0.881	0.779	0.801	0.190	0.198	0.879	0.881	0.779	0.801	0.190	0.198	0.879	0.881	0.779	0.801	0.190	0.198	0.879	0.881	0.779	0.801
Robust standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
