	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)
VARIABLES	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy	illiteracy
																																			
distfran	0.00579	-0.00899	-0.0120	-0.0335***	-0.0618***	-0.0529*	-0.0350	0.00579	-0.00899	-0.0120	-0.0335***	-0.0618***	-0.0529*	-0.0350	0.00579	-0.00899	-0.0120	-0.0335***	-0.0618***	-0.0529*	-0.0350	0.00579	-0.00899	-0.0120	-0.0335***	-0.0618***	-0.0529*	-0.0350	0.00579	-0.00899	-0.0120	-0.0335***	-0.0618***	-0.0529*	-0.0350
	(0.00470)	(0.00762)	(0.00784)	(0.00841)	(0.0194)	(0.0294)	(0.0256)	(0.00470)	(0.00762)	(0.00784)	(0.00841)	(0.0194)	(0.0294)	(0.0256)	(0.00470)	(0.00762)	(0.00784)	(0.00841)	(0.0194)	(0.0294)	(0.0256)	(0.00470)	(0.00762)	(0.00784)	(0.00841)	(0.0194)	(0.0294)	(0.0256)	(0.00470)	(0.00762)	(0.00784)	(0.00841)	(0.0194)	(0.0294)	(0.0256)
distmiss			0.0131**	0.0183***	0.0518***	0.111***	0.0208			0.0131**	0.0183***	0.0518***	0.111***	0.0208			0.0131**	0.0183***	0.0518***	0.111***	0.0208			0.0131**	0.0183***	0.0518***	0.111***	0.0208			0.0131**	0.0183***	0.0518***	0.111***	0.0208
			(0.00515)	(0.00545)	(0.00882)	(0.0291)	(0.0240)			(0.00515)	(0.00545)	(0.00882)	(0.0291)	(0.0240)			(0.00515)	(0.00545)	(0.00882)	(0.0291)	(0.0240)			(0.00515)	(0.00545)	(0.00882)	(0.0291)	(0.0240)			(0.00515)	(0.00545)	(0.00882)	(0.0291)	(0.0240)
Constant	-24.03**	25.16	-13.93	24.57	-46.71	164.7	-44.17	-24.03**	25.16	-13.93	24.57	-46.71	164.7	-44.17	-24.03**	25.16	-13.93	24.57	-46.71	164.7	-44.17	-24.03**	25.16	-13.93	24.57	-46.71	164.7	-44.17	-24.03**	25.16	-13.93	24.57	-46.71	164.7	-44.17
	(9.987)	(30.97)	(9.620)	(30.69)	(1,271)	(114.1)	(40.31)	(9.987)	(30.97)	(9.620)	(30.69)	(1,271)	(114.1)	(40.31)	(9.987)	(30.97)	(9.620)	(30.69)	(1,271)	(114.1)	(40.31)	(9.987)	(30.97)	(9.620)	(30.69)	(1,271)	(114.1)	(40.31)	(9.987)	(30.97)	(9.620)	(30.69)	(1,271)	(114.1)	(40.31)
																																			
Observations	549	548	549	548	467	42	39	549	548	549	548	467	42	39	549	548	549	548	467	42	39	549	548	549	548	467	42	39	549	548	549	548	467	42	39
R-squared	0.031	0.067	0.041	0.084	0.120	0.737	0.495	0.031	0.067	0.041	0.084	0.120	0.737	0.495	0.031	0.067	0.041	0.084	0.120	0.737	0.495	0.031	0.067	0.041	0.084	0.120	0.737	0.495	0.031	0.067	0.041	0.084	0.120	0.737	0.495
Robust standard errors in parentheses																																			
*** p<0.01, ** p<0.05, * p<0.1																																			
