	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper	edumedyr	edumedyr	lnincome	lnincome	pnbiper	pnbiper
																								
distfran	-0.00175	0.0111***	-9.61e-05	0.00356***	-0.0225	-0.0867	-0.00175	0.0111***	-9.61e-05	0.00356***	-0.0225	-0.0867	-0.00175	0.0111***	-9.61e-05	0.00356***	-0.0225	-0.0867	-0.00175	0.0111***	-9.61e-05	0.00356***	-0.0225	-0.0867
	(0.00386)	(0.00410)	(0.000762)	(0.00101)	(0.0421)	(0.0562)	(0.00386)	(0.00410)	(0.000762)	(0.00101)	(0.0421)	(0.0562)	(0.00386)	(0.00410)	(0.000762)	(0.00101)	(0.0421)	(0.0562)	(0.00386)	(0.00410)	(0.000762)	(0.00101)	(0.0421)	(0.0562)
distmiss		-0.0103***		-0.00356***		0.130**		-0.0103***		-0.00356***		0.130**		-0.0103***		-0.00356***		0.130**		-0.0103***		-0.00356***		0.130**
		(0.00199)		(0.000684)		(0.0615)		(0.00199)		(0.000684)		(0.0615)		(0.00199)		(0.000684)		(0.0615)		(0.00199)		(0.000684)		(0.0615)
Constant	302.2	124.3	0.862	6.317	158.5	321.2	302.2	124.3	0.862	6.317	158.5	321.2	302.2	124.3	0.862	6.317	158.5	321.2	302.2	124.3	0.862	6.317	158.5	321.2
	(218.5)	(207.9)	(3.537)	(3.871)	(182.1)	(206.4)	(218.5)	(207.9)	(3.537)	(3.871)	(182.1)	(206.4)	(218.5)	(207.9)	(3.537)	(3.871)	(182.1)	(206.4)	(218.5)	(207.9)	(3.537)	(3.871)	(182.1)	(206.4)
																								
Observations	427	427	506	506	81	81	427	427	506	506	81	81	427	427	506	506	81	81	427	427	506	506	81	81
R-squared	0.138	0.185	0.872	0.879	0.762	0.780	0.138	0.185	0.872	0.879	0.762	0.780	0.138	0.185	0.872	0.879	0.762	0.780	0.138	0.185	0.872	0.879	0.762	0.780
Robust standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
