	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)
VARIABLES	illit1920	braillit	forillit	yrschool	yrschool	illit1920	braillit	forillit	yrschool	yrschool	illit1920	braillit	forillit	yrschool	yrschool	illit1920	braillit	forillit	yrschool	yrschool	illit1920	braillit	forillit	yrschool	yrschool
																									
distmiss	0.176**	0.183***	0.110	-0.00993***	-0.00909***	0.176**	0.183***	0.110	-0.00993***	-0.00909***	0.176**	0.183***	0.110	-0.00993***	-0.00909***	0.176**	0.183***	0.110	-0.00993***	-0.00909***	0.176**	0.183***	0.110	-0.00993***	-0.00909***
	(0.0706)	(0.0664)	(0.0713)	(0.00286)	(0.00329)	(0.0706)	(0.0664)	(0.0713)	(0.00286)	(0.00329)	(0.0706)	(0.0664)	(0.0713)	(0.00286)	(0.00329)	(0.0706)	(0.0664)	(0.0713)	(0.00286)	(0.00329)	(0.0706)	(0.0664)	(0.0713)	(0.00286)	(0.00329)
Constant	433.1**	402.5*	-75.26	230.2	176.7	433.1**	402.5*	-75.26	230.2	176.7	433.1**	402.5*	-75.26	230.2	176.7	433.1**	402.5*	-75.26	230.2	176.7	433.1**	402.5*	-75.26	230.2	176.7
	(211.1)	(202.6)	(291.4)	(289.4)	(320.7)	(211.1)	(202.6)	(291.4)	(289.4)	(320.7)	(211.1)	(202.6)	(291.4)	(289.4)	(320.7)	(211.1)	(202.6)	(291.4)	(289.4)	(320.7)	(211.1)	(202.6)	(291.4)	(289.4)	(320.7)
																									
Observations	71	71	71	232,717	331,498	71	71	71	232,717	331,498	71	71	71	232,717	331,498	71	71	71	232,717	331,498	71	71	71	232,717	331,498
R-squared	0.149	0.170	0.444	0.061	0.054	0.149	0.170	0.444	0.061	0.054	0.149	0.170	0.444	0.061	0.054	0.149	0.170	0.444	0.061	0.054	0.149	0.170	0.444	0.061	0.054
Robust standard errors in parentheses																									
*** p<0.01, ** p<0.05, * p<0.1																									
